"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 14 22:47:15 CEST 2022","Sun Aug 14 22:47:16 CEST 2022","1381","","diplom_api.LoginUserApiTest","","diplom_api.LoginUserApiTest","loginUserWithIncorrectEmailReturnError","loginUserWithIncorrectEmailReturnError",""
"passed","Sun Aug 14 22:46:59 CEST 2022","Sun Aug 14 22:47:00 CEST 2022","622","","diplom_api.CreateUserApiTest","","diplom_api.CreateUserApiTest","createUserWithoutPasswordReturnError","createUserWithoutPasswordReturnError",""
"passed","Sun Aug 14 22:46:50 CEST 2022","Sun Aug 14 22:46:59 CEST 2022","8315","","diplom_api.CreateUserApiTest","","diplom_api.CreateUserApiTest","createUniqueUserReturnSuccess","createUniqueUserReturnSuccess",""
"passed","Sun Aug 14 22:47:00 CEST 2022","Sun Aug 14 22:47:01 CEST 2022","558","","diplom_api.CreateUserApiTest","","diplom_api.CreateUserApiTest","createUserWithoutNameReturnError","createUserWithoutNameReturnError",""
"passed","Sun Aug 14 22:47:02 CEST 2022","Sun Aug 14 22:47:02 CEST 2022","551","","diplom_api.GetUserOrdersApiTest","","diplom_api.GetUserOrdersApiTest","getOrdersForUserWithoutAuthorization","getOrdersForUserWithoutAuthorization",""
"passed","Sun Aug 14 22:47:12 CEST 2022","Sun Aug 14 22:47:13 CEST 2022","1361","","diplom_api.LoginUserApiTest","","diplom_api.LoginUserApiTest","loginUserReturnSuccess","loginUserReturnSuccess",""
"passed","Sun Aug 14 22:47:07 CEST 2022","Sun Aug 14 22:47:09 CEST 2022","1749","","diplom_api.CreateOrderApiTest","","diplom_api.CreateOrderApiTest","createOrderWithIncorrectHash","createOrderWithIncorrectHash",""
"passed","Sun Aug 14 22:47:02 CEST 2022","Sun Aug 14 22:47:04 CEST 2022","1603","","diplom_api.GetUserOrdersApiTest","","diplom_api.GetUserOrdersApiTest","getOrdersForUserWithAuthorization","getOrdersForUserWithAuthorization",""
"passed","Sun Aug 14 22:47:10 CEST 2022","Sun Aug 14 22:47:11 CEST 2022","1410","","diplom_api.UpdateUserProfileApiTest","","diplom_api.UpdateUserProfileApiTest","updateUserProfileWithAuthorization","updateUserProfileWithAuthorization",""
"passed","Sun Aug 14 22:47:09 CEST 2022","Sun Aug 14 22:47:10 CEST 2022","1346","","diplom_api.CreateOrderApiTest","","diplom_api.CreateOrderApiTest","createOrderWithoutIngredients","createOrderWithoutIngredients",""
"passed","Sun Aug 14 22:47:04 CEST 2022","Sun Aug 14 22:47:07 CEST 2022","2627","","diplom_api.CreateOrderApiTest","","diplom_api.CreateOrderApiTest","createOrderWithAuthorizationAndIngredientsReturnSuccess","createOrderWithAuthorizationAndIngredientsReturnSuccess",""
"skipped","Sun Aug 14 22:47:07 CEST 2022","Sun Aug 14 22:47:07 CEST 2022","1","","diplom_api.CreateOrderApiTest","","diplom_api.CreateOrderApiTest","createOrderWithoutAuthorizationReturnError","createOrderWithoutAuthorizationReturnError",""
"passed","Sun Aug 14 22:47:11 CEST 2022","Sun Aug 14 22:47:12 CEST 2022","547","","diplom_api.UpdateUserProfileApiTest","","diplom_api.UpdateUserProfileApiTest","updateUserProfileWithoutAuthorization","updateUserProfileWithoutAuthorization",""
"passed","Sun Aug 14 22:47:13 CEST 2022","Sun Aug 14 22:47:15 CEST 2022","1412","","diplom_api.LoginUserApiTest","","diplom_api.LoginUserApiTest","loginUserWithIncorrectPasswordReturnError","loginUserWithIncorrectPasswordReturnError",""
"passed","Sun Aug 14 22:47:01 CEST 2022","Sun Aug 14 22:47:02 CEST 2022","1380","","diplom_api.CreateUserApiTest","","diplom_api.CreateUserApiTest","createTwoIdenticalUsersReturnError","createTwoIdenticalUsersReturnError",""
"passed","Sun Aug 14 22:46:59 CEST 2022","Sun Aug 14 22:46:59 CEST 2022","606","","diplom_api.CreateUserApiTest","","diplom_api.CreateUserApiTest","createUserWithoutEmailReturnError","createUserWithoutEmailReturnError",""
